Date,Field_Site,NestID,Scientific_Name,Common_Name,DBH
01/06/2023,Stoneycroft,N47R28STNY3,NA,NA,NA
01/06/2023,Stoneycroft,N25R12STNY1,NA,NA,NA
01/06/2023,Stoneycroft,N26C14STNY2,NA,NA,NA
05/07/2023,Stoneycroft,N76YW12STNY8,Prunus_pensylvanica,Pin_cherry,0.124
05/07/2023,Stoneycroft,N76YW12STNY8,Prunus_pensylvanica,Pin_cherry,0.092
05/07/2023,Stoneycroft,N76YW12STNY8,Prunus_pensylvanica,Pin_cherry,0.13
05/07/2023,Stoneycroft,N76YW12STNY8,Rhamnus_cathartica,Common_buckthorn,0.095
05/07/2023,Stoneycroft,N76YW12STNY8,Rhamnus_cathartica,Common_buckthorn,0.058
05/07/2023,Stoneycroft,N76YW12STNY8,Rhamnus_cathartica,Common_buckthorn,0.055
05/07/2023,Stoneycroft,N76YW12STNY8,Rhamnus_cathartica,Common_buckthorn,0.097
05/07/2023,Stoneycroft,N93YW20STNY13,NA,NA,NA
11/07/2023,Stoneycroft,N60GC4STNY5,Crataegus_coccinea,Scarlet_hawthorn,0.052
11/07/2023,Stoneycroft,N89C24STNY9,Dead_standing,Dead_standing,0.106
11/07/2023,Stoneycroft,N89C24STNY9,Dead_standing,Dead_standing,0.067
11/07/2023,Stoneycroft,N89C24STNY9,Crataegus_coccinea,Scarlet_hawthorn,0.093
11/07/2023,Stoneycroft,N89C24STNY9,Crataegus_coccinea,Scarlet_hawthorn,0.068
11/07/2023,Stoneycroft,N89C24STNY9,Crataegus_coccinea,Scarlet_hawthorn,0.063
11/07/2023,Stoneycroft,N89C24STNY9,Crataegus_coccinea,Scarlet_hawthorn,0.055
11/07/2023,Stoneycroft,N89C24STNY9,Crataegus_coccinea,Scarlet_hawthorn,0.053
11/07/2023,Stoneycroft,N89C24STNY9,Crataegus_coccinea,Scarlet_hawthorn,0.106
11/07/2023,Stoneycroft,N89C24STNY9,Crataegus_coccinea,Scarlet_hawthorn,0.057
11/07/2023,Stoneycroft,N89C24STNY9,Rhamnus_cathartica,Common_buckthorn,0.082
12/07/2023,Stoneycroft,N68R35STNY6,Rhamnus_cathartica,Common_buckthorn,0.102
12/07/2023,Stoneycroft,N68R35STNY6,Rhamnus_cathartica,Common_buckthorn,0.12
12/07/2023,Stoneycroft,N68R35STNY6,Crataegus_coccinea,Scarlet_hawthorn,0.1
12/07/2023,Stoneycroft,N68R35STNY6,Rhamnus_cathartica,Common_buckthorn,0.071
12/07/2023,Stoneycroft,N68R35STNY6,Rhamnus_cathartica,Common_buckthorn,0.079
12/07/2023,Stoneycroft,N68R35STNY6,Rhamnus_cathartica,Common_buckthorn,0.053
12/07/2023,Stoneycroft,N68R35STNY6,Prunus_americana,American_plum,0.058
12/07/2023,Stoneycroft,N91YW18STNY11,NA,NA,NA
12/07/2023,Stoneycroft,N75YW11STNY7,NA,NA,NA
12/07/2023,Stoneycroft,N96YW22STNY14,Dead_standing,Dead_standing,0.082
12/07/2023,Stoneycroft,N96YW22STNY14,Juglans_nigra,Black_walnut,0.123
12/07/2023,Stoneycroft,N96YW22STNY14,Juglans_nigra,Black_walnut,0.099
12/07/2023,Stoneycroft,N97YW23STNY15,Dead_standing,Dead_standing,0.11
12/07/2023,Stoneycroft,N97YW23STNY15,Dead_standing,Dead_standing,0.081
12/07/2023,Stoneycroft,N97YW23STNY15,Dead_standing,Dead_standing,0.136
12/07/2023,Stoneycroft,N97YW23STNY15,Dead_standing,Dead_standing,0.152
12/07/2023,Stoneycroft,N97YW23STNY15,Dead_standing,Dead_standing,0.121
12/07/2023,Stoneycroft,N92YW19STNY12,Dead_standing,Dead_standing,0.071
12/07/2023,Stoneycroft,N92YW19STNY12,Malus_pumila,Common_apple,0.266
12/07/2023,Stoneycroft,N92YW19STNY12,Crataegus_flabellata,Fanleaf_hawthorn,0.082
12/07/2023,Stoneycroft,N92YW19STNY12,Crataegus_flabellata,Fanleaf_hawthorn,0.052
12/07/2023,Stoneycroft,N92YW19STNY12,Crataegus_flabellata,Fanleaf_hawthorn,0.071
12/07/2023,Stoneycroft,N92YW19STNY12,Crataegus_flabellata,Fanleaf_hawthorn,0.074
12/07/2023,Stoneycroft,N92YW19STNY12,Crataegus_flabellata,Fanleaf_hawthorn,0.088
12/07/2023,Stoneycroft,N92YW19STNY12,Crataegus_flabellata,Fanleaf_hawthorn,0.094
12/07/2023,Stoneycroft,N92YW19STNY12,Crataegus_flabellata,Fanleaf_hawthorn,0.067
12/07/2023,Stoneycroft,N92YW19STNY12,Crataegus_flabellata,Fanleaf_hawthorn,0.081
12/07/2023,Stoneycroft,N92YW19STNY12,Crataegus_flabellata,Fanleaf_hawthorn,0.082
12/07/2023,Stoneycroft,N92YW19STNY12,Crataegus_flabellata,Fanleaf_hawthorn,0.086
12/07/2023,Stoneycroft,N92YW19STNY12,Crataegus_flabellata,Fanleaf_hawthorn,0.078
12/07/2023,Stoneycroft,N92YW19STNY12,Crataegus_flabellata,Fanleaf_hawthorn,0.062
12/07/2023,Stoneycroft,N92YW19STNY12,Crataegus_flabellata,Fanleaf_hawthorn,0.073
12/07/2023,Stoneycroft,N90C25STNY10,Rhamnus_cathartica,Common_buckthorn,0.195
